train epoch 0 step 0 seg 0.69059110  ver 0.25422847  precision 0.02193035  recall 0.52476907 
train epoch 0 step 0 seg 0.63345397  ver 0.28390700  precision 0.01238039  recall 0.00058561 
train epoch 0 step 0 seg 0.75455987  ver 0.25360614  precision 0.01210957  recall 0.99628609 
train epoch 0 step 0 seg_loss 0.69074333  ver_loss 0.24282765  precision 0.01102162  recall 0.35876647  loss1 0.93107629  loss2 0.93357110  loss3 931161.37500000 
train epoch 0 step 0 seg_loss 0.74209148  ver_loss 0.25949681  precision 0.00763432  recall 0.88199234  loss1 1.09877408  loss2 1.00158834  loss3 1539478.12500000 
val epoch 0 step 0 seg_loss 0.61340457  ver_loss 0.25536409  precision 0.00016627  recall 0.00033760  loss1 0.85049886  loss2 0.86876875  loss3 0.00742515 
train epoch 1 step 45 seg_loss 0.61890817  ver_loss 0.25151426  precision 0.00017697  recall 0.00045592  loss1 0.85973227  loss2 0.87042242  loss3 28644.15625000 
val epoch 1 step 1 seg_loss 0.51926506  ver_loss 0.24613197  precision 1.00000000  recall 0.00033760  loss1 0.73640746  loss2 0.76539749  loss3 0.00334526 
train epoch 2 step 90 seg_loss 0.52272201  ver_loss 0.24315493  precision 1.00000000  recall 0.00050448  loss1 0.74244642  loss2 0.76587695  loss3 18998.87695312 
train epoch 2 step 90 seg_loss 0.52353805  ver_loss 0.25103986  precision 1.00000000  recall 0.00040163  loss1 0.75435710  loss2 0.77457792  loss3 22443.42187500 
val epoch 2 step 2 seg_loss 0.43524882  ver_loss 0.23635752  precision 1.00000000  recall 0.00033760  loss1 0.65059477  loss2 0.67160648  loss3 0.00335570 
train epoch 3 step 135 seg_loss 0.44668022  ver_loss 0.23598602  precision 1.00000000  recall 0.00051577  loss1 0.68059587  loss2 0.68266630  loss3 29231.81640625 
val epoch 3 step 3 seg_loss 0.34899041  ver_loss 0.22869691  precision 1.00000000  recall 0.00033760  loss1 0.56773013  loss2 0.57768744  loss3 0.00218299 
train epoch 4 step 180 seg_loss 0.38182390  ver_loss 0.22526751  precision 1.00000000  recall 0.00030568  loss1 0.60064256  loss2 0.60709137  loss3 30466.24609375 
